P1,4,"BackLitKeyboard,HighRam,TurboBoost,EthernetPort"
P2,0,""
P3,5,"HighDPI,HighRam,USB3.0,DiscreteGPU,BackLitKeyboard"
P4,1,"TurboBoost"
P5,4,"USB3.0,lightWeight,IntegratedWebCam,EthernetPort"
P6,4,"HighRam,HighDPI,IntegratedWebCam,BackLitKeyboard"
P7,2,"EthernetPort,lightWeight"
P8,2,"BackLitKeyboard,TurboBoost"
P9,0,""
P10,4,"HighRam,lightWeight,DiscreteGPU,IntegratedWebCam"
P11,4,"EthernetPort,HighDPI,lightWeight,TurboBoost"
P12,2,"LongBatteryLife,lightWeight"
P13,3,"DiscreteGPU,TurboBoost,HighDPI"
P14,3,"HighRam,lightWeight,EthernetPort"
P15,5,"HighRam,USB3.0,LongBatteryLife,BackLitKeyboard,TurboBoost"
P16,2,"DiscreteGPU,EthernetPort"
P17,2,"DiscreteGPU,EthernetPort"
P18,2,"HighDPI,HighRam"
P19,0,""
P20,6,"TurboBoost,HighDPI,DiscreteGPU,EthernetPort,IntegratedWebCam,BackLitKeyboard"
P21,1,"HighRam"
P22,1,"DiscreteGPU"
P23,2,"HighRam,USB3.0"
P24,6,"EthernetPort,TurboBoost,HighDPI,USB3.0,HighRam,IntegratedWebCam"
P25,5,"lightWeight,IntegratedWebCam,LongBatteryLife,USB3.0,HighDPI"
P26,3,"HighRam,HighDPI,lightWeight"
P27,6,"DiscreteGPU,LongBatteryLife,HighDPI,TurboBoost,lightWeight,EthernetPort"
P28,3,"USB3.0,TurboBoost,DiscreteGPU"
P29,3,"EthernetPort,lightWeight,HighDPI"
P30,1,"BackLitKeyboard"
P31,6,"TurboBoost,DiscreteGPU,HighDPI,BackLitKeyboard,IntegratedWebCam,HighRam"
P32,3,"IntegratedWebCam,USB3.0,DiscreteGPU"
P33,0,""
P34,1,"TurboBoost"
P35,4,"BackLitKeyboard,TurboBoost,EthernetPort,lightWeight"
P36,5,"DiscreteGPU,IntegratedWebCam,USB3.0,LongBatteryLife,HighDPI"
P37,1,"LongBatteryLife"
P38,5,"HighRam,lightWeight,IntegratedWebCam,USB3.0,TurboBoost"
P39,1,"EthernetPort"
P40,5,"DiscreteGPU,EthernetPort,IntegratedWebCam,LongBatteryLife,BackLitKeyboard"
P41,6,"IntegratedWebCam,HighRam,USB3.0,TurboBoost,lightWeight,LongBatteryLife"
P42,3,"BackLitKeyboard,EthernetPort,IntegratedWebCam"
P43,1,"HighDPI"
P44,2,"BackLitKeyboard,HighDPI"
P45,3,"HighRam,IntegratedWebCam,LongBatteryLife"
P46,5,"BackLitKeyboard,IntegratedWebCam,LongBatteryLife,EthernetPort,HighRam"
P47,1,"BackLitKeyboard"
P48,5,"HighDPI,EthernetPort,DiscreteGPU,TurboBoost,lightWeight"
P49,3,"USB3.0,BackLitKeyboard,lightWeight"
P50,4,"TurboBoost,lightWeight,HighRam,BackLitKeyboard"
P51,5,"BackLitKeyboard,HighDPI,DiscreteGPU,TurboBoost,LongBatteryLife"
P52,6,"HighRam,EthernetPort,IntegratedWebCam,DiscreteGPU,TurboBoost,LongBatteryLife"
P53,5,"LongBatteryLife,BackLitKeyboard,TurboBoost,HighDPI,HighRam"
P54,2,"lightWeight,TurboBoost"
P55,3,"USB3.0,LongBatteryLife,HighDPI"
P56,3,"lightWeight,HighDPI,IntegratedWebCam"
P57,6,"USB3.0,EthernetPort,lightWeight,BackLitKeyboard,DiscreteGPU,HighRam"
P58,6,"LongBatteryLife,HighDPI,HighRam,BackLitKeyboard,EthernetPort,lightWeight"
P59,0,""
P60,1,"HighDPI"
P61,1,"HighDPI"
P62,1,"HighDPI"
P63,6,"BackLitKeyboard,HighDPI,TurboBoost,USB3.0,EthernetPort,DiscreteGPU"
P64,1,"HighDPI"
P65,3,"USB3.0,HighDPI,DiscreteGPU"
P66,4,"LongBatteryLife,lightWeight,USB3.0,HighDPI"
P67,3,"BackLitKeyboard,lightWeight,HighRam"
P68,5,"USB3.0,IntegratedWebCam,BackLitKeyboard,EthernetPort,HighDPI"
P69,5,"TurboBoost,DiscreteGPU,BackLitKeyboard,lightWeight,USB3.0"
P70,6,"HighRam,DiscreteGPU,HighDPI,USB3.0,TurboBoost,IntegratedWebCam"
