UserId,ProductId,Rating,UserAttributes
0,0,5.0,work code graphic_intensive game_dev graphic_design
1,1,1.0,work code graphic_intensive game_dev game_engine
1,2,4.0,work code graphic_intensive artist vector
2,3,1.0,work code graphic_intensive artist animator
2,4,3.5,work code data_intensive scientist research
2,5,5.0,work code data_intensive scientist industry
2,6,2.0,work code data_intensive engineer school
2,7,5.0,work code data_intensive engineer industry
2,8,1.5,work admin comm high_end_user
2,9,3.5,work admin advance_usage comm
2,10,3.5,work admin advance_usage data operator
2,11,4.5,work admin advance_usage data system_admin
2,12,5.0,work admin simple_usage word_processing student
2,13,4.0,work admin simple_usage word_processing industry large_business
3,14,3.5,work admin simple_usage pos small_business
3,15,5.0,work admin simple_usage large_business
3,16,4.0,casual gaming hardcore repetitive
3,17,5.0,casual gaming hardcore strategic
3,18,5.0,casual gaming softcore real_time
3,19,2.5,casual softcore casino_games
3,20,5.0,casual applications browsing media pictures
3,21,2.0,casual applications browsing video
3,22,5.0,casual applications browsing website online_gaming
3,23,2.0,casual applications browsing website social
3,24,5.0,work code graphic_intensive game_dev graphic_design
3,25,5.0,work code graphic_intensive game_dev graphic_design
3,26,1.5,work code graphic_intensive game_dev graphic_design
4,27,3.0,work code graphic_intensive game_dev graphic_design
4,28,2.0,work code graphic_intensive game_dev graphic_design
4,29,5.0,work code graphic_intensive game_dev game_engine
4,30,2.0,work code game_dev game_engine
4,31,5.0,work code graphic_intensive game_dev game_engine
4,32,5.0,work graphic_intensive game_dev game_engine
4,33,5.0,work code graphic_intensive game_dev game_engine
5,34,1.5,work code graphic_intensive game_dev game_engine
5,35,4.0,work code graphic_intensive artist vector
5,36,4.5,work code graphic_intensive artist vector graphic_design
5,37,2.5,work code graphic_intensive artist vector operator
5,38,1.5,work code graphic_intensive artist vector
5,39,5.0,work code graphic_intensive artist vector
5,40,5.0,work code graphic_intensive artist animator
5,41,5.0,work code graphic_intensive artist animator
5,42,5.0,work code graphic_intensive artist
5,43,4.0,work graphic_intensive artist animator
5,44,5.0,work code graphic_intensive artist animator
5,45,4.5,work code data_intensive scientist research
5,46,4.0,work code data_intensive scientist research
5,47,4.0,code data_intensive scientist research
5,48,3.0,work code data_intensive scientist research
5,49,4.0,work code data_intensive scientist research
5,50,3.5,work code data_intensive scientist industry
5,51,4.0,work code data_intensive scientist industry
5,52,3.0,work code data_intensive scientist industry
5,53,5.0,work code data_intensive scientist industry
6,54,3.5,work code data_intensive scientist industry
6,55,4.5,work code data_intensive engineer school
7,56,4.5,work code data_intensive engineer school
